president,year,majortopic
George W. Bush,2003,0
George W. Bush,2003,0
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,3
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,3
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,12
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,16
George W. Bush,2003,16
George W. Bush,2003,16
George W. Bush,2003,16
George W. Bush,2003,16
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
George W. Bush,2003,19
