Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,March,27,Tuesday,NBC,2,1,11
2001,March,28,Wednesday,ABC,1,19,11
2001,March,28,Wednesday,ABC,2,20,11
2001,March,28,Wednesday,CBS,1,19,11
2001,March,28,Wednesday,CBS,2,12,11
2001,March,28,Wednesday,NBC,1,19,11
2001,March,28,Wednesday,NBC,2,31,11
2001,March,29,Thursday,ABC,1,12,11
2001,March,29,Thursday,ABC,2,19,11
2001,March,29,Thursday,CBS,1,19,11
2001,March,29,Thursday,CBS,2,12,11
2001,March,29,Thursday,NBC,1,19,11
2001,March,29,Thursday,NBC,2,31,11
2001,March,30,Friday,ABC,1,19,11
2001,March,30,Friday,ABC,2,10,11
2001,March,30,Friday,CBS,1,19,11
2001,March,30,Friday,CBS,2,19,11
2001,March,30,Friday,NBC,1,19,11
2001,March,30,Friday,NBC,2,19,11
2001,April,2,Monday,ABC,1,16,12
2001,April,2,Monday,ABC,2,19,12
2001,April,2,Monday,CBS,1,16,12
2001,April,2,Monday,CBS,2,19,12
2001,April,2,Monday,NBC,1,16,12
2001,April,2,Monday,NBC,2,19,12
2001,April,3,Tuesday,ABC,1,16,12
2001,April,3,Tuesday,ABC,2,16,12
2001,April,3,Tuesday,CBS,1,16,12
2001,April,3,Tuesday,CBS,2,1,12
2001,April,3,Tuesday,NBC,1,16,12
2001,April,3,Tuesday,NBC,2,1,12
2001,April,4,Wednesday,ABC,1,16,12
2001,April,4,Wednesday,ABC,2,16,12
2001,April,4,Wednesday,CBS,1,16,12
2001,April,4,Wednesday,CBS,2,20,12
2001,April,4,Wednesday,NBC,1,16,12
2001,April,4,Wednesday,NBC,2,1,12
2001,April,5,Thursday,ABC,1,1,12
2001,April,5,Thursday,ABC,2,16,12
2001,April,5,Thursday,CBS,1,16,12
2001,April,5,Thursday,CBS,2,1,12
2001,April,5,Thursday,NBC,1,16,12
2001,April,5,Thursday,NBC,2,1,12
2001,April,6,Friday,ABC,1,16,12
2001,April,6,Friday,ABC,2,1,12
2001,April,6,Friday,CBS,1,16,12
2001,April,6,Friday,CBS,2,1,12
2001,April,6,Friday,NBC,1,16,12
2001,April,6,Friday,NBC,2,1,12
2001,April,9,Monday,ABC,1,1,12
2001,April,9,Monday,ABC,2,16,12
2001,April,9,Monday,CBS,1,16,12
2001,April,9,Monday,CBS,2,1,12
